Location,Beacon 1,RSSI 1,Dist 1 (m),Beacon 2,RSSI 2,Dist 2 (m),Beacon 3,RSSI 3,Dist 3 (m),X,Y,X_smooth,Y_smooth
L03,b3002,-75.0,6.31,b3003,-75.0,6.31,b3005,-81.0,12.59,12.0,-14.28,0.0,0.0
M03,b3003,-66.0,2.24,b3006,-75.0,6.31,b3005,-80.0,11.22,22.76,-0.3,10.67640372117877,13.871288864768204
N03,b3003,-70.0,3.55,b3006,-77.0,7.94,b3005,-81.0,12.59,23.924,-2.918,13.399108474904704,14.020994816696273
N03,b3003,-72.0,4.47,b3006,-75.0,6.31,b3005,-82.0,14.13,31.964,2.19,19.558704783225814,17.26813928577223
N03,b3006,-74.0,5.62,b3003,-75.0,6.31,b3004,-82.0,14.13,-3.964,6.865,-1.7430077481221957,19.240671447232813
Q04,b3003,-73.0,5.01,b3002,-78.0,8.91,b3007,-80.0,11.22,18.789,-15.015,-0.7796524536619263,8.67789300662597
O04,b3003,-67.0,2.51,b3002,-76.0,7.08,b3006,-77.0,7.94,17.476,-3.964,0.9573708518599053,9.599390397601965
O04,b3003,-62.0,1.41,b3002,-80.0,11.22,b3006,-82.0,14.13,27.487,-27.422,5.026117125505533,-1.2971968537088383
O04,b3003,-63.0,1.58,b3002,-76.0,7.08,b3006,-80.0,11.22,17.951,-15.063,5.012757604207932,-2.411084006738342
O04,b3003,-57.0,0.79,b3002,-72.0,4.47,b3006,-75.0,6.31,14.415,-1.03,6.316011176664533,4.518587088315922
O04,b3003,-64.0,1.78,b3002,-76.0,7.08,b3006,-76.0,7.08,17.87,-2.326,8.394945357486305,8.733923784752964
N04,b3003,-61.0,1.26,b3006,-78.0,8.91,b3002,-80.0,11.22,27.538,-7.475,12.520132599373927,9.837155031212253
K04,b3002,-66.0,2.24,b3006,-81.0,12.59,b3003,-82.0,14.13,-12.314,12.339,0.0018822311207120634,11.439627144575198
K05,b3006,-76.0,7.08,b3002,-77.0,7.94,b3004,-78.0,8.91,12.979,6.358,1.831731352699963,16.635862966436747
M06,b3006,-70.0,3.55,b3002,-80.0,11.22,b3005,-80.0,11.22,26.163,5.5,8.13961555993659,21.971137566107153
I06,b3002,-74.0,5.62,b3008,-78.0,8.91,b3005,-80.0,11.22,0.0,0.37,-1.3205155676651952,15.282616350105354
I06,b3002,-74.0,5.62,b3005,-80.0,11.22,b3008,-80.0,11.22,-0.0,-2.727,-8.140314434852513,10.82775448350869
I06,b3002,-70.0,3.55,b3005,-73.0,5.01,b3008,-82.0,14.13,-0.0,-6.18,-12.438522653293315,8.044402148774289
I06,b3002,-70.0,3.55,b3008,-79.0,10.0,b3005,-81.0,12.59,-0.0,-3.991,-13.672406689743525,8.770924670919669
I07,b3005,-68.0,2.82,b3002,-82.0,14.13,b3008,-83.0,15.85,0.0,2.695,-12.248306101346392,13.202801410007439
I07,b3005,-68.0,2.82,b3008,-77.0,7.94,b3002,-79.0,10.0,0.0,10.075,-9.676151933285038,19.46658598806568
L15,b3010,-78.0,8.91,b3012,-81.0,12.59,b3013,-81.0,12.59,12.251,0.0,-6.62118912938844,21.05568518825163
I07,b3002,-76.0,7.08,b3008,-78.0,8.91,b3005,-81.0,12.59,0.0,1.133,-10.052552345922237,18.183299089278094
I08,b3008,-77.0,7.94,b3005,-78.0,8.91,b3001,-78.0,8.91,8.245,11.223,-6.676951248508882,23.588305253665006
I08,b3008,-79.0,10.0,b3005,-80.0,11.22,b3001,-80.0,11.22,8.563,12.815,-4.424581659735062,27.208496325806447
I08,b3002,-74.0,5.62,b3005,-78.0,8.91,b3008,-81.0,12.59,-0.0,-3.351,-11.349999096502934,18.889782415052657
J08,b3005,-74.0,5.62,b3008,-75.0,6.31,b3002,-83.0,15.85,0.0,24.615,-8.143998578434458,27.587463935761466
N01,b3006,-73.0,5.01,b3003,-79.0,10.0,b3002,-80.0,11.22,15.237,17.98,-2.417808024867218,34.08058436240265
I03,b3002,-69.0,3.16,b3004,-86.0,22.39,b3006,-87.0,25.12,-16.699,-59.727,-32.8520933194101,-7.9110574403636065
I07,b3008,-77.0,7.94,b3005,-78.0,8.91,b3001,-81.0,12.59,16.15,11.223,-17.956811347893897,12.495868888612609
I08,b3005,-73.0,5.01,b3008,-77.0,7.94,b3001,-81.0,12.59,19.771,2.171,-7.657058986352844,21.99304861028852
I08,b3008,-74.0,5.62,b3005,-76.0,7.08,b3001,-81.0,12.59,19.154,11.583,0.20932322712581364,29.559755361846427
I09,b3008,-67.0,2.51,b3005,-73.0,5.01,b3001,-78.0,8.91,13.758,11.635,1.581954625231056,30.296640393112583
I09,b3008,-71.0,3.98,b3005,-74.0,5.62,b3006,-78.0,8.91,6.024,11.129,-1.7669435650101555,27.107863448562227
I10,b3008,-73.0,5.01,b3006,-77.0,7.94,b3010,-81.0,12.59,0.25,-0.837,-9.705963963582311,18.34400883995077
J06,b3005,-76.0,7.08,b3002,-80.0,11.22,b3008,-81.0,12.59,0.0,4.284,-12.656598329447212,16.793239777281244
K06,b3002,-77.0,7.94,b3006,-77.0,7.94,b3005,-78.0,8.91,14.042,2.777,-8.988783010340196,20.5123249057621
K07,b3005,-75.0,6.31,b3006,-75.0,6.31,b3008,-81.0,12.59,12.0,-11.28,-11.150686615034028,15.503044258018035
S07,b3007,-63.0,1.58,b3004,-77.0,7.94,b3006,-79.0,10.0,28.186,15.597,1.1570631918706944,29.233505200977092
L06,b3005,-72.0,4.47,b3006,-74.0,5.62,b3004,-77.0,7.94,10.541,3.467,-1.3332591323103395,25.01112961872986
L06,b3004,-77.0,7.94,b3005,-78.0,8.91,b3006,-78.0,8.91,12.0,-2.556,-4.889834852809773,19.719260646161878
L05,b3005,-77.0,7.94,b3003,-78.0,8.91,b3006,-80.0,11.22,4.15,-2.243,-9.452167315902933,14.851020980013319
L05,b3002,-78.0,8.91,b3003,-78.0,8.91,b3006,-79.0,10.0,12.0,2.072,-7.488912140402933,17.36680168692046
L04,b3003,-78.0,8.91,b3004,-81.0,12.59,b3006,-84.0,17.78,6.118,-33.966,-18.25271987316694,1.2918905794952238
L04,b3003,-78.0,8.91,b3002,-79.0,10.0,b3004,-81.0,12.59,10.344,0.0,-12.360519607008863,9.577728060556852
L03,b3005,-74.0,5.62,b3004,-80.0,11.22,b3006,-82.0,14.13,-8.988,-40.09,-25.92822544208106,-8.607829896727546
K07,b3005,-75.0,6.31,b3006,-76.0,7.08,b3008,-80.0,11.22,10.711,-5.847,-16.331625706783946,3.6390494306201653
K06,b3005,-74.0,5.62,b3006,-76.0,7.08,b3002,-79.0,10.0,9.688,16.896,-3.0530108385431323,20.408656564357933
K06,b3002,-78.0,8.91,b3005,-78.0,8.91,b3006,-78.0,8.91,12.0,5.5,1.18150194595116,23.63105144260578
K04,b3003,-72.0,4.47,b3002,-79.0,10.0,b3006,-79.0,10.0,22.006,-7.841,1.2174494536592633,20.353745647950586
K04,b3002,-75.0,6.31,b3003,-79.0,10.0,b3006,-81.0,12.59,4.476,-4.248,-4.5756451248905226,13.486306816818653
J06,b3005,-76.0,7.08,b3008,-80.0,11.22,b3002,-81.0,12.59,0.0,9.716,-5.223394746822252,15.126581717595219
J07,b3005,-68.0,2.82,b3002,-74.0,5.62,b3008,-81.0,12.59,-0.0,-3.572,-9.081620653198694,11.12541713300848
I10,b3008,-72.0,4.47,b3006,-78.0,8.91,b3010,-81.0,12.59,-2.825,-1.354,-11.419508910474928,9.683928829052384
I09,b3008,-70.0,3.55,b3005,-74.0,5.62,b3006,-79.0,10.0,3.453,11.672,-6.368374966444727,17.314128971656267
I09,b3008,-66.0,2.24,b3005,-73.0,5.01,b3001,-77.0,7.94,12.168,11.851,-0.47100370612736375,24.100138234621134
I08,b3008,-72.0,4.47,b3005,-79.0,10.0,b3004,-88.0,28.18,-23.268,21.841,-6.653701259488978,20.353180949941944
I08,b3008,-73.0,5.01,b3005,-76.0,7.08,b3001,-80.0,11.22,16.111,12.667,-0.8140526311882343,26.949268052753727
I08,b3005,-73.0,5.01,b3008,-76.0,7.08,b3001,-80.0,11.22,16.944,4.333,-0.1616264406858896,26.18273825055677
I07,b3008,-76.0,7.08,b3005,-78.0,8.91,b3001,-80.0,11.22,13.323,13.386,1.0361524911683313,27.699995478511788
I07,b3002,-77.0,7.94,b3008,-77.0,7.94,b3005,-81.0,12.59,0.0,3.52,-5.933793874530549,19.888049991497343
I05,b3005,-75.0,6.31,b3002,-76.0,7.08,b3008,-82.0,14.13,-0.0,-5.451,-12.710950535986406,12.451511518380517
I03,b3002,-70.0,3.55,b3004,-86.0,22.39,b3006,-87.0,25.12,-16.537,-59.512,-37.64456980102992,-18.865618332648374
J08,b3005,-74.0,5.62,b3008,-74.0,5.62,b3002,-84.0,17.78,0.0,30.717,-17.34708455925466,11.690245713896545
I08,b3002,-77.0,7.94,b3005,-81.0,12.59,b3008,-81.0,12.59,-0.0,-2.839,-13.251308958490291,15.139495302457412
I08,b3002,-75.0,6.31,b3005,-78.0,8.91,b3008,-80.0,11.22,-0.0,-0.36,-11.524976882977237,16.39707459045546
I08,b3008,-78.0,8.91,b3001,-79.0,10.0,b3005,-80.0,11.22,6.659,16.243,-4.269322433731277,25.303345316365107
I08,b3008,-76.0,7.08,b3001,-77.0,7.94,b3005,-78.0,8.91,7.043,13.386,-1.654220128917641,27.83046463867464
L15,b3010,-78.0,8.91,b3012,-81.0,12.59,b3013,-81.0,12.59,12.251,0.0,-3.754342759466199,23.752894817259378
J10,b3008,-62.0,1.41,b3010,-79.0,10.0,b3002,-80.0,11.22,0.0,11.331,-6.166295528543651,22.03228470065362
I07,b3005,-68.0,2.82,b3008,-76.0,7.08,b3002,-80.0,11.22,0.0,13.314,-6.853628313339086,22.528042920939697
I07,b3005,-68.0,2.82,b3008,-82.0,14.13,b3002,-83.0,15.85,0.0,11.305,-7.744659668268933,22.39196970353834
I06,b3002,-71.0,3.98,b3008,-78.0,8.91,b3005,-81.0,12.59,-0.0,-2.294,-12.46502247045874,16.70983401465938
I06,b3002,-71.0,3.98,b3005,-73.0,5.01,b3008,-81.0,12.59,-0.0,-3.118,-15.344541784713542,13.76226683916269
I06,b3002,-75.0,6.31,b3008,-79.0,10.0,b3005,-80.0,11.22,-0.0,-0.182,-15.52676077662788,14.219069647378873
I06,b3002,-75.0,6.31,b3008,-77.0,7.94,b3005,-80.0,11.22,0.0,2.278,-14.373072190663523,16.058792129139952
M06,b3006,-71.0,3.98,b3005,-80.0,11.22,b3002,-81.0,12.59,25.755,10.933,-2.6344824402099416,28.849654314788324
